Actor1	Actor2	Actor3	Actor4	Actor5	Actor6	Actor7	Actor8	Actor9	Actor10	Actor11	Actor12	Actor13	Actor14	Actor15	Actor16	Actor17	Actor18	Actor19	Actor20	batteryPct
57	64	55	57	56	62	59	57	55	65	63	62	61	57	58	55	59	59	57	60	65
0	56	0	0	65	0	0	0	61	0	64	56	58	0	0	0	0	0	0	0	65
0	57	0	0	58	58	57	59	64	59	55	61	58	61	63	65	58	0	58	0	65
0	0	0	0	0	0	0	0	0	0	138	0	0	140	0	0	0	0	0	0	140
0	0	0	118	0	125	0	0	0	0	0	0	0	0	125	0	0	0	0	0	125
0	62	62	60	58	63	62	55	58	55	62	64	59	57	59	55	58	61	0	0	64
0	0	0	60	0	56	0	0	0	0	0	0	0	0	0	64	65	0	64	64	65
65	62	62	60	60	64	59	64	58	60	56	65	57	63	55	56	56	57	65	64	65
63	57	61	64	62	61	60	58	56	60	63	59	56	59	57	58	62	55	57	59	64
56	0	55	61	61	59	63	0	56	60	0	0	0	56	56	62	65	64	58	0	65
58	60	65	58	59	63	61	62	57	0	0	58	0	0	61	0	0	0	60	58	65
0	0	0	0	58	57	0	65	65	0	0	61	57	0	0	57	57	0	59	0	65
61	64	61	56	60	57	55	56	0	58	55	59	59	64	58	59	59	57	64	65	65
0	122	0	0	0	0	0	0	0	120	0	0	0	0	0	124	0	0	0	0	124
0	56	55	0	65	58	61	63	0	62	59	0	61	0	57	64	0	57	55	58	65
0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155
59	61	63	60	58	56	65	62	63	63	65	57	60	58	63	64	59	63	61	65	65
0	0	62	0	63	63	0	55	59	57	60	0	0	60	64	0	0	0	0	0	64
0	0	101	0	0	0	0	104	0	0	0	99	0	97	0	0	0	0	0	0	104
0	62	61	60	56	61	61	60	0	63	63	58	56	0	59	63	65	0	63	0	65
59	0	0	57	0	0	58	0	65	0	0	0	0	0	0	64	0	60	55	0	65
56	64	57	56	57	64	61	56	63	59	58	57	58	63	64	57	56	63	56	63	64
59	57	0	56	59	65	57	65	58	57	63	55	58	59	56	61	58	62	55	59	65
57	0	0	0	62	0	58	0	0	0	63	0	0	0	0	0	0	55	0	0	63
65	56	0	64	58	65	61	0	57	60	0	0	59	60	0	0	0	65	55	56	65
0	0	0	0	0	0	0	117	0	0	122	0	0	123	0	0	0	0	0	0	123
58	63	62	59	62	60	0	62	55	58	62	58	55	0	58	63	56	57	64	0	64
60	63	0	65	60	0	59	55	0	60	63	63	0	64	64	60	58	65	63	59	65
55	56	63	65	0	0	0	60	0	0	64	0	0	57	0	57	0	61	58	0	65
63	0	57	0	0	0	62	0	0	60	58	59	0	55	61	0	56	0	0	58	63
0	142	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
63	59	63	64	57	59	0	62	64	57	62	63	55	57	62	61	64	63	64	62	64
63	56	65	59	65	59	62	64	64	62	58	61	55	59	55	59	57	58	64	57	65
0	0	0	0	123	0	0	0	0	0	116	0	0	0	0	0	0	0	0	120	123
0	57	65	57	59	61	59	59	57	64	0	63	65	0	62	56	0	0	65	63	65
0	0	0	0	0	0	0	0	0	0	0	0	101	98	0	0	99	0	0	96	101
59	0	65	65	0	55	56	0	57	0	63	60	57	57	63	55	60	61	63	0	65
0	0	0	0	0	0	0	0	120	0	0	116	0	0	0	0	125	0	0	0	125
60	63	0	65	64	59	57	65	0	61	65	55	61	59	64	60	64	0	0	0	65
55	0	60	64	0	58	0	63	57	0	0	0	0	0	63	0	0	60	57	0	64
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	157
0	57	63	0	60	63	0	64	58	63	64	0	0	64	0	0	64	62	0	57	64
57	61	63	60	55	62	60	61	65	55	65	65	58	57	61	62	55	57	60	56	65
0	0	0	0	0	101	102	0	0	0	0	0	0	96	0	0	0	0	0	97	102
0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158
0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163
0	60	63	63	0	64	65	60	0	0	59	0	60	0	61	63	58	0	62	0	65
55	63	57	65	0	63	62	0	63	65	0	0	0	65	0	0	0	0	56	55	65
57	61	62	63	62	62	59	58	58	63	61	56	59	64	64	58	57	62	63	58	64
0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	157
0	0	0	0	0	124	118	0	0	0	118	0	0	0	0	0	0	0	0	0	124
57	61	55	63	60	55	59	65	63	65	65	63	62	61	61	56	56	59	63	64	65
57	58	56	64	0	64	61	0	64	60	65	58	0	0	0	61	56	64	57	60	65
64	0	0	0	64	56	0	0	61	57	0	0	0	0	57	56	0	0	58	62	64
0	0	0	0	0	0	64	0	0	0	64	65	62	57	0	0	0	0	0	61	65
0	0	0	115	122	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	122
63	61	59	62	58	56	0	56	61	59	57	61	62	56	59	60	55	62	57	60	63
0	64	60	0	60	0	0	0	0	0	0	0	0	63	0	0	0	65	0	0	65
58	60	63	63	57	56	64	62	62	56	60	60	62	63	64	58	58	64	63	63	64
62	61	60	65	60	55	62	55	63	58	61	56	0	60	58	59	62	56	56	63	65
60	60	65	59	0	63	61	0	0	64	60	0	0	58	0	0	64	0	58	64	65
63	57	64	55	0	59	59	57	65	0	0	61	64	0	55	62	57	55	57	57	65
58	0	56	0	0	0	64	61	61	0	62	0	0	65	57	0	63	61	61	55	65
0	58	60	0	61	60	61	58	0	61	58	59	0	57	0	57	58	60	60	0	61
0	0	0	0	0	0	0	0	0	0	0	0	104	98	104	0	0	0	0	98	104
60	0	0	56	60	62	65	62	60	59	60	58	59	60	59	64	56	61	56	60	65
59	55	64	59	0	0	0	0	58	0	0	62	0	0	0	0	0	0	0	0	64
0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	159
65	65	0	60	62	0	57	61	0	56	59	62	59	65	64	64	60	55	64	0	65
59	0	61	63	56	0	65	0	56	0	0	64	62	0	63	0	0	0	0	0	65
60	56	60	59	58	65	0	0	57	58	65	55	62	55	64	62	58	0	55	61	65
64	59	0	59	0	0	64	57	0	0	0	61	57	56	56	57	59	59	0	62	64
0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	102	99	103	0	0	103
60	0	0	56	63	0	56	56	64	63	0	0	0	65	55	61	59	59	0	60	65
65	56	60	65	61	56	64	63	0	57	56	62	64	0	64	63	59	64	61	65	65
58	0	56	0	59	0	63	0	0	64	0	0	63	0	0	0	0	59	0	58	64
56	62	64	61	64	65	58	55	63	65	57	59	57	60	0	58	58	65	60	65	65
0	62	65	56	0	64	64	0	61	65	59	55	62	0	60	0	0	0	61	0	65
63	63	60	56	64	61	0	0	61	59	65	0	64	63	59	56	58	0	65	0	65
0	63	63	60	0	0	0	59	0	0	0	0	0	59	0	0	0	0	63	0	63
