V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
19,10,5,3,3,2,1,1,1,0.0,1,1,2,2,2,1,1,0.0,1,0.0,0.0,0.0,0.0,14,179.0
13,9,7,3,1,1,4,1,1,0.0,1,0.0,2,1,2,2,1,1,2,1,3,0.0,0.0,14,221.0
15,8,6,1,3,1,3,3,1,1,2,1,0.0,0.0,1,3,0.0,0.0,2,0.0,2,3,1,13,179.0
15,5,8,5,1,2,2,0.0,1,1,2,2,1,2,2,0.0,4,0.0,1,0.0,1,1,1,13,300.0
15,6,5,4,1,0.0,2,0.0,1,1,1,1,1,2,1,0.0,0.0,1,0.0,3,0.0,1,4,20,299.0
22,10,7,5,2,0.0,0.0,3,1,1,3,1,1,0.0,2,2,1,1,0.0,1,3,1,2,17,133.0
10,6,2,4,3,2,1,1,2,1,0.0,1,4,2,0.0,1,0.0,3,4,1,1,0.0,2,20,156.0
23,6,12,4,1,0.0,4,1,1,2,4,0.0,1,1,3,5,2,3,0.0,2,2,2,1,30,324.0
16,3,2,3,1,3,3,3,2,0.0,1,1,2,0.0,1,1,0.0,0.0,1,2,0.0,2,3,20,119.0
17,14,5,4,3,1,2,1,1,4,0.0,3,1,3,1,1,1,2,8,1,3,0.0,4,30,250.0
10,13,7,2,4,3,1,4,1,2,3,1,0.0,3,0.0,1,0.0,0.0,1,0.0,0.0,1,3,11,169.0
24,14,5,4,2,2,2,0.0,1,0.0,3,3,1,1,3,2,1,0.0,1,3,3,0.0,1,36,300.0
16,9,1,2,3,1,1,0.0,0.0,1,0.0,1,3,1,1,0.0,1,0.0,1,2,2,1,2,26,261.0
13,7,4,5,1,0.0,1,2,1,2,2,4,1,0.0,0.0,0.0,3,1,1,2,2,1,1,17,300.0
16,4,5,2,1,3,1,0.0,2,1,0.0,3,1,2,0.0,0.0,1,1,0.0,3,1,1,0.0,22,300.0
16,5,5,4,2,0.0,0.0,1,1,1,1,0.0,1,1,2,1,1,0.0,0.0,3,2,1,0.0,17,104.0
12,11,0.0,2,1,2,1,1,1,0.0,1,4,0.0,1,1,0.0,2,1,5,1,0.0,1,5,18,314.0
20,11,10,5,0.0,3,1,2,0.0,3,3,2,0.0,1,1,3,5,4,3,0.0,3,0.0,1,30,240.0
9,9,4,2,1,0.0,3,2,1,0.0,0.0,1,0.0,2,1,0.0,0.0,1,1,2,0.0,1,0.0,30,174.0
23,14,7,2,1,1,2,3,3,1,2,1,1,1,3,2,2,1,2,1,0.0,3,2,34,305.0
12,7,3,2,3,0.0,1,1,0.0,1,2,1,2,0.0,0.0,1,0.0,3,4,0.0,3,1,0.0,24,157.0
16,5,0.0,2,1,0.0,1,1,2,1,0.0,0.0,0.0,2,0.0,2,1,0.0,3,2,2,0.0,2,27,229.0
16,6,4,3,1,1,0.0,3,1,1,0.0,1,1,1,1,3,2,3,4,1,1,1,1,29,130.0
12,5,4,1,1,2,1,1,2,0.0,0.0,1,0.0,1,2,3,3,2,3,0.0,2,1,1,23,300.0
16,5,5,2,3,2,0.0,1,1,1,0.0,0.0,1,1,4,2,2,2,1,2,2,1,0.0,22,119.0
15,4,7,1,3,1,2,0.0,1,0.0,2,0.0,0.0,0.0,2,2,0.0,2,0.0,2,0.0,1,1,24,274.0
24,16,4,5,4,3,5,2,1,3,0.0,0.0,3,2,1,3,0.0,2,0.0,1,0.0,0.0,3,29,206.0
20,15,4,5,4,1,2,0.0,3,1,1,0.0,1,1,2,1,2,0.0,5,1,2,2,1,37,180.0
11,7,2,1,1,3,1,1,0.0,1,2,1,0.0,1,2,1,1,0.0,1,1,1,0.0,3,25,106.0
14,13,3,2,3,2,3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,3,0.0,2,1,1,1,1,20,209.0
15,7,4,3,3,0.0,1,1,3,0.0,1,3,2,0.0,1,0.0,2,1,1,1,1,2,0.0,19,345.0
15,11,4,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,0.0,1,1,5,0.0,28,119.0
16,4,5,2,0.0,0.0,0.0,0.0,3,1,0.0,3,0.0,3,0.0,0.0,0.0,3,4,3,1,1,1,20,285.0
17,6,5,4,2,3,2,3,1,1,2,0.0,0.0,2,0.0,1,1,1,0.0,1,1,2,0.0,30,136.0
14,7,6,1,1,0.0,1,2,2,1,0.0,0.0,0.0,1,1,3,1,0.0,1,2,0.0,1,1,24,298.0
12,4,3,5,0.0,1,0.0,0.0,1,2,4,0.0,1,2,0.0,1,4,0.0,1,2,0.0,1,0.0,27,177.0
24,9,11,4,0.0,3,2,2,2,1,0.0,0.0,2,3,2,1,1,0.0,1,1,3,4,0.0,34,300.0
15,5,4,3,1,1,0.0,2,0.0,1,1,1,0.0,1,2,0.0,1,1,1,1,1,2,0.0,27,119.0
17,12,3,2,1,3,0.0,0.0,4,0.0,3,1,1,0.0,5,2,1,3,0.0,3,2,1,3,44,264.0
21,10,3,5,4,1,1,0.0,0.0,0.0,0.0,2,2,0.0,2,0.0,0.0,0.0,2,0.0,0.0,1,2,20,119.0
17,6,5,0.0,0.0,1,1,1,3,2,2,1,2,0.0,0.0,0.0,1,0.0,0.0,1,0.0,2,1,24,361.0
14,4,2,2,2,0.0,2,2,1,2,0.0,1,0.0,0.0,1,0.0,2,1,1,0.0,1,0.0,0.0,16,83.0
14,9,6,6,4,1,2,0.0,1,0.0,2,0.0,0.0,1,0.0,1,1,0.0,1,2,0.0,3,1,21,119.0
13,5,3,2,0.0,1,2,2,0.0,0.0,2,1,1,0.0,0.0,0.0,2,0.0,0.0,1,0.0,4,0.0,31,120.0
19,9,8,1,2,5,3,2,1,2,0.0,1,1,0.0,2,1,3,2,0.0,2,2,3,2,40,273.0
16,4,2,2,4,2,1,0.0,0.0,2,0.0,0.0,4,2,2,1,0.0,3,0.0,1,1,3,0.0,20,146.0
15,4,6,0.0,1,2,2,2,0.0,0.0,0.0,0.0,3,2,0.0,1,2,0.0,3,1,1,1,3,23,373.0
14,6,2,3,1,2,1,1,2,0.0,2,0.0,3,0.0,1,0.0,0.0,0.0,0.0,2,0.0,3,1,23,106.0
15,7,8,1,2,1,2,0.0,0.0,0.0,1,0.0,1,1,2,1,2,0.0,0.0,2,0.0,0.0,4,21,360.0
16,10,3,3,3,4,1,2,0.0,0.0,2,1,2,0.0,0.0,4,0.0,2,1,1,0.0,1,0.0,20,119.0
10,9,4,2,2,3,1,0.0,0.0,1,1,3,1,2,3,0.0,3,2,0.0,0.0,0.0,0.0,5,18,300.0
7,8,3,2,2,1,1,0.0,1,0.0,2,2,0.0,0.0,1,0.0,1,1,0.0,0.0,1,1,0.0,16,76.0
8,6,4,0.0,3,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,21,82.0
12,9,1,1,0.0,2,2,1,2,3,1,1,0.0,1,2,1,2,1,0.0,2,2,2,0.0,22,119.0
17,5,5,5,2,1,2,1,3,0.0,0.0,0.0,1,1,1,3,0.0,3,1,0.0,1,1,1,28,127.0
14,8,2,2,2,1,1,2,3,1,4,3,0.0,3,0.0,1,0.0,1,2,0.0,0.0,3,2,15,233.0
22,13,6,3,2,2,3,1,0.0,2,0.0,2,0.0,0.0,0.0,2,0.0,1,4,3,3,0.0,0.0,41,179.0
14,8,4,4,0.0,2,0.0,0.0,0.0,2,0.0,2,1,1,0.0,0.0,0.0,0.0,1,3,0.0,1,2,25,238.0
20,9,5,2,0.0,2,0.0,2,1,2,1,0.0,0.0,1,1,0.0,2,0.0,0.0,1,0.0,1,0.0,29,121.0
16,4,5,6,2,4,1,0.0,1,3,0.0,2,0.0,0.0,0.0,5,0.0,1,2,0.0,1,0.0,0.0,17,119.0
15,9,5,1,3,3,1,2,2,2,0.0,0.0,0.0,1,1,1,0.0,0.0,1,0.0,3,3,1,16,119.0
17,4,2,5,3,2,1,0.0,2,1,0.0,0.0,1,0.0,1,1,0.0,0.0,2,1,1,0.0,2,24,119.0
15,7,8,9,5,2,2,2,1,4,4,1,3,4,0.0,1,0.0,1,3,3,4,2,1,23,179.0
7,1,3,4,2,1,1,2,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,3,47.0
18,9,5,5,1,2,0.0,1,0.0,3,0.0,2,0.0,1,0.0,1,2,2,3,0.0,0.0,2,2,22,132.0
14,4,4,3,2,3,1,2,1,1,0.0,1,0.0,1,1,1,4,1,0.0,3,1,1,1,20,119.0
10,7,2,3,1,1,1,1,1,3,2,1,1,3,1,1,0.0,1,0.0,1,0.0,1,2,26,117.0
