V1,V2
65,140.0
65,272.0
65,225.0
65,63.0
65,274.0
65,155.0
65,110.0
65,294.0
65,117.0
65,239.0
65,173.0
65,173.0
65,137.0
65,233.0
65,295.0
65,151.0
65,84.0
65,90.0
65,89.0
65,244.0
65,189.0
65,303.0
65,95.0
65,252.0
65,254.0
65,190.0
65,227.0
65,104.0
65,222.0
65,89.0
65,64.0
65,90.0
65,179.0
65,227.0
105,112.0
105,199.0
105,114.0
105,138.0
105,199.0
105,159.0
105,130.0
105,130.0
105,221.0
105,109.0
105,188.0
105,224.0
105,125.0
105,243.0
105,114.0
105,119.0
105,124.0
105,119.0
105,120.0
105,120.0
