V1,V2
5,299.0
5,378.0
5,420.0
5,305.0
5,619.0
5,472.0
5,421.0
5,85.0
5,120.0
5,420.0
5,487.0
5,470.0
5,537.0
5,120.0
5,619.0
5,119.0
5,571.0
5,82.0
5,67.0
5,111.0
5,61.0
5,31.0
5,87.0
5,76.0
5,300.0
5,4.0
5,280.0
5,481.0
5,462.0
5,585.0
5,367.0
5,419.0
5,427.0
5,374.0
5,598.0
5,67.0
5,473.0
5,114.0
5,366.0
5,434.0
5,128.0
5,629.0
5,611.0
5,95.0
5,482.0
5,540.0
5,479.0
5,120.0
5,65.0
5,781.0
5,67.0
5,59.0
5,126.0
5,88.0
5,95.0
5,795.0
5,120.0
5,3.0
75,88.0
75,179.0
75,209.0
75,346.0
75,307.0
75,119.0
75,79.0
75,495.0
75,341.0
75,262.0
75,638.0
75,840.0
75,119.0
75,299.0
75,119.0
75,179.0
75,78.0
75,128.0
75,530.0
75,260.0
75,239.0
75,78.0
75,360.0
75,75.0
75,358.0
75,120.0
75,118.0
75,102.0
75,240.0
75,421.0
115,439.0
115,331.0
115,211.0
115,359.0
115,127.0
115,119.0
115,301.0
115,360.0
115,286.0
115,116.0
115,114.0
115,120.0
115,138.0
115,157.0
115,421.0
115,129.0
115,120.0
115,120.0
115,120.0
115,119.0
115,120.0
115,180.0
115,240.0
115,241.0
115,120.0
115,279.0
115,300.0
115,360.0
115,119.0
115,112.0
115,113.0
115,119.0
115,119.0
115,118.0
115,119.0
115,119.0
115,120.0
115,181.0
115,136.0
55,59.0
55,59.0
55,60.0
55,53.0
55,59.0
55,59.0
55,635.0
55,59.0
55,59.0
55,57.0
55,59.0
55,59.0
55,59.0
55,152.0
55,59.0
55,61.0
55,59.0
55,59.0
55,58.0
55,60.0
55,59.0
55,59.0
55,59.0
55,60.0
55,58.0
