src_cluster,max,min,avg          
116,110,110,110.0000000000000000
455,414,414,414.0000000000000000
346,317,317,317.0000000000000000
370,344,344,344.0000000000000000
68,409,409,409.0000000000000000
304,283,283,283.0000000000000000
80,386,386,386.0000000000000000
70,68,68,68.0000000000000000
190,173,173,173.0000000000000000
758,666,666,666.0000000000000000
162,148,148,148.0000000000000000
378,351,351,351.0000000000000000
424,391,391,391.0000000000000000
491,600,444,522.0000000000000000
712,629,629,629.0000000000000000
799,703,703,703.0000000000000000
192,175,175,175.0000000000000000
176,160,160,160.0000000000000000
169,207,155,181.0000000000000000
237,220,220,220.0000000000000000
473,427,427,427.0000000000000000
262,596,596,596.0000000000000000
451,411,411,411.0000000000000000
292,279,279,279.0000000000000000
509,460,460,460.0000000000000000
348,532,319,411.0000000000000000
97,92,92,92.0000000000000000
560,651,651,651.0000000000000000
271,252,252,252.0000000000000000
408,375,375,375.0000000000000000
836,740,740,740.0000000000000000
268,248,248,248.0000000000000000
784,692,692,692.0000000000000000
780,685,685,685.0000000000000000
482,519,519,519.0000000000000000
98,93,93,93.0000000000000000
478,431,431,431.0000000000000000
269,249,249,249.0000000000000000
200,183,183,183.0000000000000000
42,42,42,42.0000000000000000
527,645,645,645.0000000000000000
490,443,443,443.0000000000000000
117,111,111,111.0000000000000000
82,79,79,79.0000000000000000
40,40,40,40.0000000000000000
286,267,267,267.0000000000000000
240,223,223,223.0000000000000000
279,578,561,569.5000000000000000
525,473,473,473.0000000000000000
845,745,745,745.0000000000000000
338,310,310,310.0000000000000000
202,185,185,185.0000000000000000
120,113,113,113.0000000000000000
412,378,378,378.0000000000000000
802,707,707,707.0000000000000000
703,624,624,624.0000000000000000
79,77,77,77.0000000000000000
210,192,192,192.0000000000000000
794,699,699,699.0000000000000000
349,320,320,320.0000000000000000
842,744,744,744.0000000000000000
812,718,718,718.0000000000000000
687,613,613,613.0000000000000000
244,226,226,226.0000000000000000
602,551,551,551.0000000000000000
302,281,281,281.0000000000000000
468,423,423,423.0000000000000000
800,705,705,705.0000000000000000
677,602,602,602.0000000000000000
266,247,247,247.0000000000000000
249,232,232,232.0000000000000000
456,416,416,416.0000000000000000
635,577,577,577.0000000000000000
388,360,360,360.0000000000000000
56,550,550,550.0000000000000000
531,478,478,478.0000000000000000
91,86,86,86.0000000000000000
347,318,318,318.0000000000000000
209,191,191,191.0000000000000000
305,284,284,284.0000000000000000
138,129,129,129.0000000000000000
418,667,384,525.5000000000000000
743,650,650,650.0000000000000000
83,80,80,80.0000000000000000
303,282,282,282.0000000000000000
201,184,184,184.0000000000000000
333,307,307,307.0000000000000000
571,518,518,518.0000000000000000
516,466,466,466.0000000000000000
216,197,197,197.0000000000000000
783,691,691,691.0000000000000000
484,439,439,439.0000000000000000
558,725,725,725.0000000000000000
822,729,729,729.0000000000000000
168,154,154,154.0000000000000000
93,88,88,88.0000000000000000
363,339,339,339.0000000000000000
776,682,682,682.0000000000000000
467,422,422,422.0000000000000000
287,708,269,488.5000000000000000
581,529,529,529.0000000000000000
66,64,64,64.0000000000000000
356,330,330,330.0000000000000000
118,112,112,112.0000000000000000
793,698,698,698.0000000000000000
265,246,246,246.0000000000000000
416,383,383,383.0000000000000000
195,178,178,178.0000000000000000
702,623,623,623.0000000000000000
123,116,116,116.0000000000000000
126,118,118,118.0000000000000000
194,177,177,177.0000000000000000
41,41,41,41.0000000000000000
32,700,700,700.0000000000000000
53,52,52,52.0000000000000000
649,585,585,585.0000000000000000
381,599,599,599.0000000000000000
183,167,167,167.0000000000000000
656,589,589,589.0000000000000000
140,461,461,461.0000000000000000
193,176,176,176.0000000000000000
777,683,683,683.0000000000000000
730,642,642,642.0000000000000000
453,412,412,412.0000000000000000
495,448,448,448.0000000000000000
141,131,131,131.0000000000000000
648,584,584,584.0000000000000000
825,731,731,731.0000000000000000
611,559,559,559.0000000000000000
211,193,193,193.0000000000000000
177,161,161,161.0000000000000000
185,415,415,415.0000000000000000
64,62,62,62.0000000000000000
270,250,250,250.0000000000000000
486,665,665,665.0000000000000000
612,560,560,560.0000000000000000
203,472,472,472.0000000000000000
228,210,210,210.0000000000000000
