V1,V2
39.6594774434,498.810558469
27.2289596202,572.155862674
24.3709912549,527.450875412
24.9512467185,548.526357469
33.2832132378,633.294117368
24.8495887033,507.273471661
25.985112597,546.307234349
28.8908656186,506.240822655
24.9469304072,627.153385608
27.5852734306,593.15724071
23.7584980159,543.571990651
29.5081269309,536.577754268
22.1893775566,588.474504149
24.1708505967,488.030611376
37.7697392027,555.048190073
31.1903629651,557.466977387
28.6299088085,526.27115444
41.7911876367,486.516260472
37.7850815341,582.417966115
39.9791978551,560.233470017
26.6889129991,561.696617187
37.8167783368,543.460540654
22.0416044519,554.058575767
31.93524495,545.295015718
41.5301955407,475.482567316
31.8555053188,595.88006717
29.1396273451,584.216744155
26.2502745439,508.642728907
43.5000117591,474.124992055
20.1287098843,486.798007968
41.8606031185,472.551576378
33.5468356882,508.506124622
41.186125588,489.495890939
42.7857790235,446.24866794
38.4493969967,620.273347203
37.9122772696,491.200909834
33.3168123381,565.091641618
36.2984216703,561.220008023
38.5807171546,535.819012928
37.3642085421,528.635270999
39.8976875291,537.556713759
20.2016381003,541.546052585
27.4775638956,516.143480514
32.9073361768,548.342314055
24.3335356722,523.41680682
20.1911499844,585.320913307
25.8430399552,573.853931028
22.250145609,428.240482511
30.2600175897,567.141552149
38.2264726858,563.11471443
29.0682271815,572.695906402
29.5053607967,508.535219376
28.7638237015,599.854375683
29.7769186823,570.007424398
39.3502059301,570.749426836
42.2002104121,459.929865299
37.18673113,565.548662511
32.3009807764,594.947572003
42.5999246047,455.505310061
21.5295341794,535.067564586
39.8764734397,557.496142603
20.2716348927,606.369178058
26.1847302966,537.145295415
30.9408060367,562.554373275
22.884095642,547.975552409
26.1604664783,560.377757199
32.6896053272,567.92381337
38.7408787012,568.803353959
37.3097356618,525.093091055
28.680242567,565.001050962
43.7442049085,422.043443678
26.265932959,557.509575335
41.3976567552,405.505561392
22.1625559987,590.196068464
26.7015895942,576.541108721
42.5778919111,481.931138033
33.0470786422,569.958545029
40.5425554873,442.082582092
40.5603110683,420.620444359
37.9677299469,579.79719075
42.599498215,458.435776363
43.7503676665,438.624126207
20.9383079321,545.776520073
25.6260498334,499.177271754
23.6530839172,545.261084951
33.033123555,543.057560169
30.7640539541,536.376606273
44.2475648543,447.421963652
26.5614814868,556.137331239
31.5653988082,578.602050587
20.313810153,603.64003438
21.0701973646,503.507925777
27.2876820442,539.662425541
44.3352140017,457.651081544
35.8732966561,619.560169026
35.4354751923,532.866481449
21.4527863854,654.623472801
23.3008530777,578.180603026
33.2517416816,550.824546502
36.5508117291,617.109201508
32.0926954616,518.49779368
40.3879920571,460.037036904
27.492026208,585.434103622
23.8632521165,562.814044421
40.6065363825,476.934326767
24.4577312714,658.765327704
26.2213619988,521.172676895
27.9369038026,547.777736505
31.4937211979,600.501767382
21.597221862,563.174734191
28.6393446376,564.956784335
34.4689092085,585.312593961
31.3818557477,584.659420135
27.8845097868,559.628672277
41.9693956607,399.681942259
33.862773415,588.486465476
40.043440475,480.79959778
37.5520677746,567.822591163
21.9455764567,634.33103184
29.3313012692,598.842680825
36.8507171335,518.116466278
42.6349258187,481.245043325
40.5054769572,444.817807162
32.4804257644,603.175501943
40.1017690281,453.134015459
20.6334776125,563.635738112
25.6264634651,537.492733418
34.4131130929,555.878152756
37.4363020085,548.743499309
33.5887362572,536.404616449
32.0414615148,536.503524482
44.7286635151,431.043275295
21.5174397937,539.874561184
32.5219411784,539.140168174
25.7438528327,513.189744498
34.7619983505,553.936308393
40.8242519866,491.256389481
39.3059447149,542.547338689
38.9324968498,522.927361067
37.8950335778,621.085517925
31.5998432152,581.541888994
22.5314678014,514.817618864
38.236436319,594.980653634
42.7930608329,448.865316102
28.0730957723,586.444069655
43.2388434481,424.241081659
39.9378459704,548.766010566
21.6360905467,489.643724361
43.6992566327,459.597858954
30.1803758827,566.178855018
27.4641369237,522.069863329
39.9500231845,563.070231704
39.4754649625,563.393054342
44.2566096639,459.347387853
42.1887806393,470.467029509
43.5313307238,445.048904968
32.2629876571,532.21562502
23.3356217174,576.925894517
39.1662874944,551.929368979
33.7914253949,566.328531972
31.5239494419,557.856929505
30.5905312363,552.887499074
26.006568179,520.253948268
35.3845334619,571.790066071
41.1248475078,478.615432934
43.0813868283,454.98902273
41.3959703965,462.486155813
39.0318506775,574.263002017
38.4809046499,599.652940801
29.2409223314,612.140327854
32.696185631,561.639948287
37.0302129893,511.722229605
22.3444298536,501.28670817
23.8412701518,600.172348899
40.6479895512,462.235837538
28.0958466044,572.471049387
28.5048710525,542.069904112
34.1680382825,584.718847637
33.0602681428,568.390222843
35.0811542093,570.396771551
26.3524239483,514.936542116
36.5259939519,572.170533371
32.0665559623,531.380227096
27.9439872939,590.601734847
37.1545394666,561.761797334
41.626632159,452.804344041
42.8562151159,439.805835033
31.5202489516,489.640856127
40.767271854,444.539104286
42.3534686089,458.767909948
40.8444276635,456.520948905
36.3048184273,591.933586796
32.0677221638,525.123862842
36.2406782851,523.138913844
39.3226757355,569.553829286
38.8069431213,545.248264056
35.1048472438,572.856583751
24.6650847772,527.789175398
32.8302487045,580.111260908
32.6646743787,511.278970327
25.6309830242,541.959784525
43.1401461136,461.561959204
35.576911456,553.930301695
23.0918126146,489.522558628
38.2503075213,600.398720325
43.7995501573,465.697857012
26.9650359205,525.725579415
37.7692172948,541.009762096
30.2977527975,535.049632962
32.2658098533,566.110014
42.9680985256,448.809305035
33.3075826647,555.668806782
35.2572614656,549.302509181
21.1077023902,578.653552638
38.0878156948,564.881248384
40.8665329862,493.632875065
22.6668711378,508.216248919
37.6117305219,551.234790586
32.4010978832,572.908426745
22.4055662517,551.290716383
24.3638716843,599.254283357
31.1257017465,614.265660681
21.6031133762,626.17671927
26.4890862901,587.714144796
38.8392018167,565.607895609
41.813618201,437.343289849
35.3163184335,545.727733587
37.4924173234,573.429699743
28.5596769807,484.054960301
21.8728374386,453.487843657
33.4789024738,588.578100168
38.0141102113,532.751691701
22.9667621232,542.109632213
36.1237596815,520.191284883
32.0873766872,562.007216498
34.9924498737,566.070176992
23.4588165922,529.617834531
39.7975020553,560.926534705
43.9734441273,459.283389409
37.4570689526,539.572695813
36.1892777097,551.990403119
42.462904563,464.994246081
30.8846278406,526.115239484
43.3998943121,450.834872789
36.8136629934,513.897795463
32.8949989672,538.015955517
33.6394994683,563.335932064
37.4744365293,606.673227183
24.4540903863,503.818471136
38.2013567604,579.993290603
43.9817703821,500.883380921
41.6654650449,476.980213046
31.9398898342,580.226724603
21.5464972029,536.169471532
27.246980609,587.683423798
37.1746151101,546.435306396
43.9342341348,467.590435803
25.4313553222,640.371126226
31.6428648936,632.865322334
32.6811360482,590.176383052
27.5792254557,526.643742134
40.5020672112,465.032918442
27.1704751988,544.970899722
22.7228035807,534.102479961
36.4520778079,559.702253744
