V1,V2
29.729645712,571.049645119
32.5011309294,601.038121094
38.888323542,565.42033821
22.5976704772,663.740005824
39.8752435251,566.887548769
39.6401018677,546.094775752
26.6307116746,567.844341389
22.9038792832,541.177292544
40.3397784547,487.782793495
41.9555636078,489.779278212
29.8246595187,658.894018625
41.462730058,461.408427075
21.6768125079,609.983937534
24.7044216554,588.82473558
34.0794859445,513.753740045
41.6808872729,473.980195643
38.8520412272,525.651510634
22.4561289035,556.103500089
23.6311904021,511.964926677
24.5483741825,613.648129968
43.077714723,475.107622488
37.6206443812,581.426975851
40.9672131182,447.709072659
44.2969464438,487.690926033
34.9452770155,562.552281976
38.728691954,586.452277132
44.5944329501,497.12472763
24.5152919162,562.5877057
33.5990692943,565.648661351
39.6613520907,574.756841464
30.7898662779,546.360237413
20.2798384672,428.084647524
28.8645303887,543.997603285
35.7909513227,500.397004831
40.5107664822,463.817461943
44.6844716391,449.92694082
25.5516168746,489.224676733
31.8272667385,536.970942759
31.3844601939,537.105174247
28.0303907866,592.520798755
35.2201153062,566.975580907
43.92966525,465.406626898
39.4064264101,552.72727309
44.0994937794,462.638137327
43.873723313,434.993832555
33.1884848869,524.829851344
26.4087571164,641.523157968
34.6229403979,594.455655914
37.1757925267,506.731095188
33.0530889443,532.432390935
40.9767754307,463.758050266
34.1035556062,541.576296216
24.8847120796,509.607061753
42.739224512,491.994458724
44.8992128307,446.594639304
33.108194817,509.771303546
30.1858696682,538.133335852
20.2882509756,575.950730599
42.9704656085,467.32843322
43.8976263566,462.713788999
21.65556668,503.204773755
43.0322386143,452.790191578
24.9152027667,589.868649285
20.742933856,486.969644613
43.3683619395,448.032828179
21.8765409312,533.175143614
32.125576868,528.847018439
26.6128436256,518.924677107
27.2868236042,617.007412407
37.1350989564,596.683694483
33.1232393298,546.555131634
27.0994048221,512.801580811
40.6496318221,460.811133046
36.3974134938,541.242538689
26.4541743388,653.040470818
33.8602629213,599.612485957
37.5981919203,585.538256605
24.1884067237,538.663896995
29.5918015828,618.028934821
31.771380983,516.855632534
40.9330348656,471.441046752
22.0865723979,624.027983249
44.1364137522,452.489249147
37.6201088493,573.073962239
32.251100789,614.866553103
39.4739414601,565.372621917
20.0727814137,567.99277697
38.8211951345,594.547455732
29.1837465989,637.673817696
33.3387436985,571.90428372
34.9953857948,587.884694407
44.8495404406,448.45939238
42.3043384779,492.115012686
24.0495323553,523.856975152
43.069821584,429.206779018
31.6864452263,497.277027296
42.5808593747,495.376419256
20.4771677509,613.369959149
32.7790571534,528.659064109
41.7574862359,474.822330888
27.8651747625,533.493221621
23.6282346999,544.052263705
23.6223390883,521.339669823
37.9444548177,572.214886763
27.1290571693,649.551877356
38.7244159445,604.239810708
42.96587109,448.776522301
30.1366039578,538.212250039
40.3043037796,470.934122483
36.4389345178,595.063089963
38.324920073,546.538127497
20.1924778192,619.289227494
29.5188165263,599.80520758
37.0182880572,561.619457098
29.5509934742,607.16211014
32.5855721075,601.314695437
30.4930132462,555.861263112
30.8843154904,593.566299148
42.6076435038,461.418386308
