V1,V2
37.5155902337,557.524768597
35.8007126071,557.741221073
32.6136453294,558.14349386
26.5030717809,558.914772669
24.0394040071,559.225737709
39.9710144908,557.214844057
31.0797509104,558.33710257
30.1954230808,558.448722749
38.4913002385,557.401614126
23.1934985959,559.332508197
44.9587939104,303.417738826
24.8233983329,559.126781661
36.1983843512,557.691026801
26.1559366764,558.958588188
22.8060716767,559.381409363
35.4323004292,557.787722191
39.3261558288,557.296238351
29.0318739762,558.595586339
39.4588714288,557.27948694
40.8547630399,327.045966766
37.1513855411,557.570738645
41.3690982844,324.084773057
26.6743232558,558.893157246
41.442745374,323.660763035
25.9530240547,558.984199893
37.9802234497,557.466122424
35.944517948,557.72306991
25.9470828352,558.984949796
26.9174332755,558.862471811
34.1343349281,557.951551868
37.9664494601,557.467860982
25.1131113435,559.09021398
34.3258418282,557.927379797
40.1141948502,331.309656427
23.8061403062,559.255180338
23.0267254753,559.353558361
43.0231365942,314.561941616
42.4254943668,318.002760466
32.802249091,558.119688225
30.1672816212,558.452274774
22.2467186709,559.452011102
24.551719465,559.161073066
24.5917509719,559.156020275
21.8078495527,559.507405321
44.6480944629,305.206535645
43.6273430114,311.083330612
43.411092037,312.328357142
39.2835410878,557.301617199
37.5311892105,557.522799688
27.2001499884,558.826787205
28.3803187199,558.67782588
44.3914453428,306.684147315
29.1780132095,558.577140592
21.3329797163,559.567343564
28.7104991459,558.636150387
38.4306754282,557.409266212
24.6976992642,559.142647443
27.115043055,558.837529433
42.3220318571,318.598427467
31.6992806132,558.258905306
25.0504962287,559.098117282
25.5690280811,559.032668004
30.8882273873,558.361276738
44.3035697928,307.190075168
41.1366662115,325.422959385
40.874535624,326.932129629
35.1911568761,557.818159418
43.6814873848,310.771604011
39.6382755391,557.256842488
21.0316211528,559.605381152
31.3827525116,558.298857598
43.1532841119,313.812640427
25.9286148183,558.987280835
35.9660429796,557.720353013
36.6883783895,557.629179576
37.9203223266,557.473683165
26.6051449839,558.901888953
24.6386475245,559.150100975
34.2495953121,557.93700366
20.5215677812,559.669760273
33.1722865873,558.072981958
27.1563059347,558.832321217
26.4688846984,558.919087775
20.8301765216,559.630807566
20.3126548296,559.696129342
23.2484318622,559.3255745
28.2458748,558.69479544
30.4174788757,558.420694786
43.8717135534,309.676410672
