examples.offloadDebugApp.NumbersFaceDetect_1,examples.offloadDebugApp.NumbersFaceDetect_2,examples.offloadDebugApp.NumbersFaceDetect_3,examples.offloadDebugApp.NumbersFaceDetect_4,examples.offloadDebugApp.NumbersFaceDetect_5,examples.offloadDebugApp.NumbersFaceDetect_6,examples.offloadDebugApp.NumbersFaceDetect_7,examples.offloadDebugApp.NumbersFaceDetect_8,examples.offloadDebugApp.NumbersFaceDetect_9,examples.offloadDebugApp.NumbersFaceDetect_10,examples.offloadDebugApp.NumbersFaceDetect_11,examples.offloadDebugApp.NumbersFaceDetect_12,examples.offloadDebugApp.NumbersFaceDetect_13,examples.offloadDebugApp.NumbersFaceDetect_14,examples.offloadDebugApp.NumbersFaceDetect_15,examples.offloadDebugApp.NumbersFaceDetect_16,examples.offloadDebugApp.NumbersFaceDetect_17,examples.offloadDebugApp.NumbersFaceDetect_18,examples.offloadDebugApp.NumbersFaceDetect_19,examples.offloadDebugApp.NumbersFaceDetect_20,examples.offloadDebugApp.NumbersFaceDetect_21,examples.offloadDebugApp.NumbersFaceDetect_22,examples.offloadDebugApp.NumbersFaceDetect_23,examples.offloadDebugApp.NumbersFaceDetect_24,BatteryDropTime
2.0,1.0,2.0,1.0,0.0,0.0,74.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
3.0,0.0,168.0,36.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
4.0,0.0,0.0,0.0,0.0,0.0,70.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
4.0,0.0,175.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
3.0,0.0,4.0,0.0,0.0,0.0,82.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0
4.0,2.0,148.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0
3.0,0.0,1.0,0.0,0.0,2.0,79.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
5.0,0.0,172.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
4.0,0.0,3.0,0.0,1.0,0.0,80.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0
2.0,0.0,144.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0
2.0,0.0,3.0,0.0,0.0,8.0,87.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
1.0,0.0,86.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
2.0,1.0,0.0,0.0,0.0,4.0,88.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
1.0,0.0,166.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
1.0,0.0,2.0,0.0,0.0,0.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
