V1,V2
165,166.0
165,165.0
135,137.0
135,130.0
135,132.0
135,130.0
105,101.0
105,101.0
105,100.0
105,109.0
105,109.0
105,108.0
105,109.0
75,73.0
75,73.0
175,170.0
175,179.0
175,179.0
175,178.0
175,174.0
175,179.0
175,179.0
145,146.0
145,144.0
145,141.0
145,141.0
145,145.0
115,119.0
115,112.0
115,119.0
115,119.0
115,118.0
115,118.0
115,119.0
115,119.0
115,119.0
115,115.0
115,118.0
115,115.0
115,118.0
115,115.0
85,86.0
85,85.0
85,84.0
85,84.0
85,82.0
85,81.0
85,86.0
185,180.0
185,180.0
185,180.0
185,188.0
185,180.0
185,180.0
155,154.0
155,154.0
155,154.0
155,155.0
155,158.0
5,235.0
5,360.0
5,181.0
5,361.0
5,301.0
5,180.0
5,302.0
5,191.0
5,350.0
5,361.0
5,214.0
5,387.0
5,181.0
5,314.0
5,288.0
5,300.0
5,324.0
5,278.0
5,300.0
5,241.0
5,361.0
5,223.0
5,379.0
5,361.0
5,181.0
5,360.0
5,241.0
5,295.0
5,366.0
5,241.0
5,332.0
5,270.0
5,301.0
5,240.0
5,301.0
5,301.0
5,181.0
5,300.0
5,169.0
5,311.0
5,302.0
5,166.0
5,315.0
5,240.0
5,251.0
5,230.0
5,361.0
5,280.0
5,262.0
5,300.0
5,241.0
5,361.0
5,301.0
5,180.0
5,361.0
5,156.0
5,386.0
5,181.0
5,312.0
5,335.0
5,195.0
5,307.0
5,234.0
5,301.0
5,293.0
5,248.0
5,300.0
5,241.0
5,361.0
5,183.0
5,336.0
5,383.0
5,156.0
5,386.0
5,240.0
5,294.0
5,247.0
5,302.0
5,270.0
5,211.0
5,241.0
5,180.0
5,241.0
5,240.0
5,181.0
5,180.0
5,200.0
5,181.0
5,278.0
5,321.0
125,129.0
125,120.0
125,127.0
125,120.0
125,119.0
125,120.0
125,124.0
125,119.0
125,119.0
125,125.0
125,119.0
125,121.0
125,120.0
125,129.0
95,98.0
95,92.0
95,96.0
95,98.0
95,91.0
95,96.0
95,90.0
95,93.0
