examples.fibonacci.Fibonacci_1,examples.fibonacci.Fibonacci_2,examples.fibonacci.Fibonacci_3,examples.fibonacci.Fibonacci_4,examples.fibonacci.Fibonacci_5,examples.fibonacci.Fibonacci_6,examples.fibonacci.Fibonacci_7,examples.fibonacci.Fibonacci_8,examples.fibonacci.Fibonacci_9,examples.fibonacci.Fibonacci_10,examples.fibonacci.Fibonacci_11,examples.fibonacci.Fibonacci_12,examples.fibonacci.Fibonacci_13,examples.fibonacci.Fibonacci_14,examples.fibonacci.Fibonacci_15,examples.fibonacci.Fibonacci_16,examples.fibonacci.Fibonacci_17,examples.fibonacci.Fibonacci_18,examples.fibonacci.Fibonacci_19,examples.fibonacci.Fibonacci_20,examples.fibonacci.Fibonacci_21,examples.fibonacci.Fibonacci_22,examples.fibonacci.Fibonacci_23,examples.fibonacci.Fibonacci_24,BatteryDropTime
6.0,12.0,10.0,13.0,9.0,4.0,1.0,6.0,4.0,4.0,4.0,7.0,6.0,3.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,69.0,215.0
14.0,10.0,4.0,10.0,3.0,8.0,8.0,10.0,6.0,5.0,3.0,3.0,6.0,4.0,5.0,4.0,2.0,8.0,5.0,4.0,0.0,4.0,5.0,160.0,326.0
7.0,12.0,9.0,4.0,5.0,4.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,98.0,202.0
5.0,6.0,2.0,11.0,5.0,5.0,1.0,3.0,3.0,2.0,5.0,6.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,6.0,3.0,0.0,103.0,206.0
5.0,6.0,6.0,5.0,10.0,3.0,2.0,4.0,10.0,4.0,1.0,4.0,5.0,5.0,5.0,7.0,6.0,10.0,1.0,5.0,3.0,3.0,3.0,103.0,249.0
6.0,9.0,8.0,15.0,6.0,8.0,0.0,2.0,3.0,2.0,0.0,2.0,5.0,0.0,2.0,3.0,0.0,4.0,1.0,1.0,3.0,3.0,2.0,146.0,263.0
8.0,4.0,11.0,9.0,8.0,6.0,6.0,4.0,9.0,4.0,2.0,3.0,7.0,4.0,6.0,4.0,4.0,1.0,3.0,3.0,3.0,0.0,1.0,116.0,254.0
10.0,3.0,5.0,10.0,6.0,4.0,2.0,4.0,7.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,6.0,2.0,4.0,3.0,0.0,87.0,200.0
4.0,8.0,5.0,4.0,1.0,2.0,5.0,7.0,4.0,0.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,149.0,250.0
6.0,8.0,8.0,9.0,2.0,2.0,2.0,2.0,8.0,2.0,6.0,3.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,2.0,97.0,199.0
4.0,16.0,9.0,10.0,4.0,0.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,0.0,105.0,217.0
1.0,3.0,9.0,0.0,3.0,1.0,2.0,8.0,2.0,6.0,2.0,0.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,129.0,201.0
13.0,9.0,9.0,16.0,4.0,9.0,5.0,5.0,7.0,12.0,5.0,4.0,7.0,4.0,0.0,8.0,1.0,0.0,2.0,1.0,5.0,2.0,3.0,92.0,249.0
8.0,7.0,4.0,3.0,5.0,3.0,3.0,8.0,5.0,3.0,2.0,8.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,3.0,2.0,129.0,250.0
3.0,6.0,11.0,10.0,6.0,8.0,3.0,7.0,5.0,1.0,4.0,1.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,105.0,214.0
4.0,3.0,8.0,3.0,2.0,6.0,10.0,3.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,0.0,1.0,3.0,1.0,1.0,6.0,1.0,3.0,106.0,201.0
7.0,5.0,4.0,10.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,5.0,2.0,4.0,4.0,0.0,3.0,4.0,142.0,249.0
3.0,12.0,9.0,9.0,4.0,9.0,4.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,0.0,4.0,2.0,88.0,199.0
4.0,8.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,120.0,210.0
7.0,5.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,2.0,1.0,8.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,149.0,229.0
10.0,10.0,7.0,3.0,7.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,9.0,1.0,0.0,5.0,2.0,6.0,4.0,3.0,5.0,112.0,240.0
6.0,5.0,1.0,10.0,6.0,7.0,5.0,7.0,5.0,1.0,7.0,3.0,2.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,84.0,178.0
6.0,7.0,9.0,6.0,5.0,4.0,8.0,3.0,3.0,6.0,2.0,7.0,3.0,3.0,3.0,0.0,2.0,4.0,0.0,2.0,5.0,4.0,5.0,84.0,200.0
7.0,11.0,11.0,7.0,11.0,3.0,1.0,7.0,3.0,0.0,2.0,5.0,4.0,2.0,1.0,3.0,7.0,1.0,9.0,5.0,1.0,1.0,2.0,96.0,219.0
2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,127.0,199.0
4.0,7.0,2.0,3.0,1.0,4.0,3.0,6.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,127.0,199.0
8.0,9.0,2.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,108.0,200.0
3.0,2.0,4.0,8.0,4.0,3.0,4.0,4.0,12.0,3.0,2.0,3.0,4.0,2.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,3.0,85.0,174.0
2.0,4.0,5.0,6.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,7.0,4.0,86.0,170.0
3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,1.0,71.0,104.0
7.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,74.0,138.0
1.0,10.0,5.0,5.0,3.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,111.0,175.0
3.0,4.0,5.0,7.0,6.0,8.0,2.0,2.0,4.0,1.0,4.0,5.0,3.0,1.0,10.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,5.0,93.0,199.0
3.0,0.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,6.0,2.0,2.0,1.0,7.0,5.0,4.0,117.0,199.0
7.0,11.0,5.0,2.0,8.0,6.0,6.0,4.0,2.0,5.0,9.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,3.0,4.0,8.0,0.0,1.0,87.0,199.0
2.0,0.0,4.0,1.0,3.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,105.0,162.0
9.0,17.0,7.0,7.0,6.0,15.0,5.0,5.0,1.0,4.0,4.0,1.0,5.0,8.0,1.0,6.0,2.0,1.0,7.0,5.0,4.0,3.0,3.0,100.0,249.0
3.0,2.0,2.0,2.0,3.0,10.0,4.0,1.0,2.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,0.0,2.0,81.0,149.0
4.0,6.0,8.0,8.0,6.0,8.0,2.0,3.0,2.0,3.0,3.0,6.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,4.0,95.0,198.0
12.0,5.0,5.0,7.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,9.0,5.0,1.0,3.0,4.0,3.0,7.0,0.0,3.0,5.0,0.0,95.0,199.0
7.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,5.0,5.0,7.0,3.0,5.0,9.0,7.0,4.0,4.0,3.0,104.0,210.0
4.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,149.0,200.0
5.0,6.0,7.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,0.0,113.0,198.0
8.0,8.0,8.0,6.0,8.0,1.0,3.0,4.0,6.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,3.0,100.0,199.0
0.0,4.0,5.0,3.0,4.0,2.0,6.0,4.0,5.0,3.0,4.0,7.0,2.0,3.0,4.0,3.0,4.0,2.0,6.0,2.0,3.0,2.0,1.0,121.0,213.0
3.0,9.0,7.0,2.0,7.0,3.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,0.0,138.0,225.0
10.0,3.0,10.0,6.0,6.0,6.0,4.0,2.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,7.0,3.0,1.0,4.0,137.0,241.0
14.0,10.0,3.0,6.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,148.0,240.0
5.0,4.0,12.0,6.0,6.0,4.0,0.0,3.0,5.0,3.0,3.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,4.0,7.0,5.0,4.0,1.0,103.0,199.0
11.0,12.0,15.0,9.0,10.0,0.0,4.0,9.0,0.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,5.0,4.0,2.0,2.0,0.0,2.0,1.0,115.0,238.0
6.0,6.0,5.0,5.0,7.0,4.0,2.0,0.0,5.0,3.0,6.0,7.0,3.0,4.0,1.0,6.0,3.0,2.0,5.0,4.0,2.0,6.0,8.0,177.0,300.0
4.0,2.0,11.0,5.0,5.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,126.0,199.0
4.0,2.0,13.0,6.0,4.0,4.0,12.0,10.0,4.0,3.0,6.0,6.0,8.0,3.0,5.0,11.0,3.0,4.0,4.0,1.0,5.0,3.0,9.0,260.0,416.0
4.0,4.0,3.0,2.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,3.0,1.0,2.0,1.0,116.0,179.0
7.0,3.0,7.0,6.0,6.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,1.0,4.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,4.0,118.0,241.0
