examples.nqueens.Nqueens_1,examples.nqueens.Nqueens_2,examples.nqueens.Nqueens_3,examples.nqueens.Nqueens_4,examples.nqueens.Nqueens_5,examples.nqueens.Nqueens_6,examples.nqueens.Nqueens_7,examples.nqueens.Nqueens_8,examples.nqueens.Nqueens_9,examples.nqueens.Nqueens_10,examples.nqueens.Nqueens_11,examples.nqueens.Nqueens_12,examples.nqueens.Nqueens_13,examples.nqueens.Nqueens_14,examples.nqueens.Nqueens_15,examples.nqueens.Nqueens_16,examples.nqueens.Nqueens_17,examples.nqueens.Nqueens_18,examples.nqueens.Nqueens_19,examples.nqueens.Nqueens_20,examples.nqueens.Nqueens_21,examples.nqueens.Nqueens_22,examples.nqueens.Nqueens_23,examples.nqueens.Nqueens_24,BatteryDropTime
27.0,18.0,14.0,6.0,4.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,3.0,6.0,3.0,5.0,5.0,2.0,4.0,5.0,2.0,1.0,1.0,5.0,189.0
32.0,16.0,9.0,10.0,10.0,9.0,4.0,7.0,8.0,11.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,0.0,1.0,16.0,218.0
7.0,4.0,4.0,6.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,51.0,149.0
32.0,16.0,5.0,10.0,1.0,4.0,1.0,5.0,10.0,1.0,14.0,5.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,6.0,3.0,2.0,1.0,2.0,163.0
19.0,21.0,5.0,7.0,5.0,6.0,9.0,4.0,5.0,12.0,6.0,6.0,5.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,3.0,157.0
37.0,26.0,7.0,5.0,10.0,5.0,6.0,4.0,7.0,8.0,14.0,4.0,2.0,8.0,4.0,1.0,5.0,1.0,6.0,3.0,4.0,5.0,2.0,3.0,209.0
22.0,9.0,8.0,7.0,8.0,8.0,0.0,4.0,3.0,3.0,6.0,3.0,6.0,1.0,1.0,3.0,4.0,1.0,3.0,0.0,6.0,3.0,3.0,12.0,149.0
16.0,1.0,9.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,58.0,151.0
4.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,73.0,147.0
20.0,16.0,3.0,4.0,0.0,6.0,8.0,4.0,7.0,10.0,11.0,8.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,0.0,30.0,197.0
28.0,15.0,9.0,9.0,2.0,6.0,3.0,7.0,11.0,9.0,6.0,7.0,2.0,6.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,149.0
26.0,6.0,11.0,5.0,9.0,6.0,5.0,6.0,2.0,6.0,6.0,4.0,7.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,0.0,2.0,4.0,6.0,169.0
12.0,6.0,2.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,24.0,98.0
23.0,10.0,7.0,2.0,2.0,2.0,4.0,6.0,3.0,3.0,4.0,2.0,3.0,0.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,21.0,156.0
19.0,11.0,9.0,3.0,4.0,4.0,3.0,3.0,4.0,13.0,8.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,120.0
16.0,11.0,6.0,9.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,7.0,8.0,10.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,5.0,9.0,152.0
8.0,7.0,4.0,3.0,4.0,6.0,5.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,37.0,122.0
29.0,9.0,4.0,7.0,2.0,6.0,6.0,7.0,10.0,5.0,9.0,7.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,6.0,7.0,0.0,1.0,5.0,182.0
17.0,4.0,7.0,2.0,5.0,7.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,2.0,0.0,1.0,9.0,117.0
11.0,3.0,1.0,3.0,1.0,4.0,8.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,27.0,123.0
8.0,3.0,3.0,2.0,6.0,4.0,5.0,2.0,6.0,3.0,5.0,4.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,15.0,121.0
13.0,4.0,3.0,1.0,0.0,6.0,6.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,22.0,120.0
11.0,12.0,6.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,31.0,151.0
12.0,6.0,2.0,4.0,4.0,2.0,1.0,4.0,0.0,2.0,3.0,4.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,21.0,121.0
23.0,16.0,5.0,4.0,4.0,3.0,1.0,0.0,0.0,6.0,1.0,3.0,3.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,4.0,1.0,0.0,5.0,119.0
