demo1.Nqueens_1,demo1.Nqueens_2,demo1.Nqueens_3,demo1.Nqueens_4,demo1.Nqueens_5,demo1.Nqueens_6,demo1.Nqueens_7,demo1.Nqueens_8,demo1.Nqueens_9,demo1.Nqueens_10,demo1.Nqueens_11,demo1.Nqueens_12,demo1.Nqueens_13,demo1.Nqueens_14,demo1.Nqueens_15,demo1.Nqueens_16,demo1.Nqueens_17,demo1.Nqueens_18,demo1.Nqueens_19,demo1.Nqueens_20,demo1.Nqueens_21,demo1.Nqueens_22,demo1.Nqueens_23,demo1.Nqueens_24,BatteryDropTime
4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
29.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
35.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
22.0,6.0,2.0,1.0,4.0,2.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
41.0,10.0,1.0,1.0,1.0,4.0,2.0,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
36.0,11.0,4.0,5.0,4.0,3.0,2.0,8.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
18.0,11.0,3.0,3.0,5.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
20.0,6.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
32.0,5.0,0.0,2.0,0.0,2.0,1.0,11.0,13.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
74.0,22.0,9.0,11.0,7.0,3.0,6.0,12.0,6.0,2.0,13.0,15.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,200
11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
28.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
31.0,11.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,10.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
23.0,9.0,0.0,0.0,1.0,2.0,6.0,6.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
34.0,8.0,1.0,2.0,3.0,3.0,7.0,15.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
47.0,10.0,1.0,0.0,2.0,2.0,6.0,4.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
17.0,8.0,0.0,0.0,2.0,5.0,4.0,3.0,6.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
34.0,18.0,3.0,0.0,1.0,5.0,9.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
22.0,2.0,0.0,1.0,2.0,3.0,6.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
32.0,13.0,5.0,1.0,2.0,7.0,13.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
16.0,6.0,0.0,1.0,2.0,5.0,4.0,6.0,8.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
45.0,4.0,1.0,2.0,4.0,4.0,9.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
22.0,11.0,2.0,0.0,3.0,3.0,6.0,13.0,11.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
