#RAN WITH PARAMETERS: log_heavy_cpu.txt 300


{0: 110, 1: 24, 2: 11, 3: 3, 4: 1, 5: 1, 6: 6, 7: 16, 8: 15, 9: 30, 10: 17, 11: 40, 12: 26}
{0: 112, 1: 20, 2: 9, 3: 4, 4: 3, 5: 3, 6: 11, 7: 20, 8: 22, 9: 26, 10: 13, 11: 49, 12: 8}
{0: 119, 1: 15, 2: 13, 3: 3, 4: 1, 5: 0, 6: 1, 7: 6, 8: 33, 9: 30, 10: 22, 11: 50, 12: 7}
{0: 113, 1: 21, 2: 13, 3: 6, 4: 1, 5: 0, 6: 9, 7: 13, 8: 17, 9: 35, 10: 21, 11: 43, 12: 8}
{0: 110, 1: 29, 2: 17, 3: 16, 4: 10, 5: 4, 6: 11, 7: 15, 8: 14, 9: 16, 10: 7, 11: 47, 12: 4}
{0: 114, 1: 34, 2: 16, 3: 6, 4: 5, 5: 9, 6: 15, 7: 14, 8: 18, 9: 8, 10: 8, 11: 43, 12: 10}
{0: 105, 1: 24, 2: 16, 3: 10, 4: 1, 5: 5, 6: 12, 7: 17, 8: 23, 9: 17, 10: 9, 11: 41, 12: 20}
{0: 102, 1: 36, 2: 12, 3: 6, 4: 1, 5: 3, 6: 5, 7: 14, 8: 31, 9: 18, 10: 12, 11: 38, 12: 22}
{0: 85, 1: 42, 2: 17, 3: 8, 4: 3, 5: 2, 6: 8, 7: 8, 8: 26, 9: 20, 10: 12, 11: 34, 12: 35}
{0: 76, 1: 67, 2: 26, 3: 4, 4: 3, 5: 3, 6: 9, 7: 8, 8: 20, 9: 6, 10: 17, 11: 33, 12: 28}
{0: 66, 1: 70, 2: 12, 3: 4, 4: 4, 5: 6, 6: 4, 7: 9, 8: 25, 9: 20, 10: 13, 11: 39, 12: 28}
{0: 74, 1: 95, 2: 10, 3: 3, 4: 1, 5: 5, 6: 7, 7: 10, 8: 23, 9: 20, 10: 19, 11: 13, 12: 20}
{0: 101, 1: 87, 2: 13, 3: 2, 4: 0, 5: 2, 6: 4, 7: 6, 8: 17, 9: 12, 10: 24, 11: 29, 12: 3}
{0: 125, 1: 64, 2: 13, 3: 2, 4: 1, 5: 0, 6: 1, 7: 0, 8: 18, 9: 13, 10: 22, 11: 40, 12: 1}
{0: 116, 1: 62, 2: 17, 3: 5, 4: 0, 5: 2, 6: 0, 7: 4, 8: 16, 9: 13, 10: 18, 11: 41, 12: 5, 13: 1}
{0: 108, 1: 63, 2: 14, 3: 3, 4: 3, 5: 4, 6: 1, 7: 4, 8: 15, 9: 17, 10: 19, 11: 45, 12: 4}
{0: 87, 1: 83, 2: 19, 3: 8, 4: 2, 5: 2, 6: 3, 7: 1, 8: 13, 9: 6, 10: 16, 11: 54, 12: 6}
{0: 83, 1: 77, 2: 13, 3: 7, 4: 3, 5: 5, 6: 4, 7: 8, 8: 10, 9: 9, 10: 17, 11: 59, 12: 5}
{0: 93, 1: 60, 2: 17, 3: 5, 4: 3, 5: 1, 6: 3, 7: 11, 8: 13, 9: 7, 10: 16, 11: 60, 12: 11}
{0: 97, 1: 51, 2: 11, 3: 3, 4: 0, 5: 6, 6: 3, 7: 4, 8: 14, 9: 21, 10: 15, 11: 62, 12: 13}
{0: 90, 1: 55, 2: 12, 3: 7, 4: 3, 5: 4, 6: 8, 7: 9, 8: 10, 9: 10, 10: 20, 11: 53, 12: 19}
{0: 100, 1: 41, 2: 11, 3: 7, 4: 7, 5: 3, 6: 5, 7: 14, 8: 14, 9: 13, 10: 19, 11: 47, 12: 19}
{0: 82, 1: 57, 2: 13, 3: 8, 4: 4, 5: 5, 6: 10, 7: 5, 8: 9, 9: 13, 10: 17, 11: 66, 12: 11}
{0: 73, 1: 56, 2: 15, 3: 13, 4: 5, 5: 5, 6: 9, 7: 8, 8: 12, 9: 15, 10: 21, 11: 55, 12: 13}
{0: 75, 1: 52, 2: 13, 3: 4, 4: 6, 5: 4, 6: 4, 7: 4, 8: 12, 9: 16, 10: 21, 11: 75, 12: 14}
{0: 77, 1: 74, 2: 12, 3: 5, 4: 3, 5: 3, 6: 2, 7: 8, 8: 9, 9: 7, 10: 17, 11: 68, 12: 15}
{0: 38, 1: 45, 2: 5, 3: 1, 4: 2, 5: 0, 6: 7, 7: 1, 8: 5, 9: 1, 10: 6, 11: 33, 12: 8}
