WWCNamingServer listening on port: 3030
Bind  to rmsp://127.0.0.1:51645/UAL/1477523425538/1, from /127.0.0.1:38941
Query  Get rmsp://127.0.0.1:51645/UAL/1477523425538/1, from /127.0.0.1:38941
Bind  to rmsp://127.0.0.1:46079/UAL/1477523449645/1, from /127.0.0.1:38943
Query  Get rmsp://127.0.0.1:46079/UAL/1477523449645/1, from /127.0.0.1:38943
Bind  to rmsp://127.0.0.1:50055/UAL/1477524310871/1, from /127.0.0.1:38950
Query  Get rmsp://127.0.0.1:50055/UAL/1477524310871/1, from /127.0.0.1:38950
Bind  to rmsp://127.0.0.1:4040, from /127.0.0.1:38952
Query  Get rmsp://127.0.0.1:4040, from /127.0.0.1:38950
Delete , from /127.0.0.1:38952
Bind  to rmsp://127.0.0.1:48220/UAL/1477524357654/1, from /127.0.0.1:38954
Query  Get rmsp://127.0.0.1:48220/UAL/1477524357654/1, from /127.0.0.1:38954
Bind  to rmsp://127.0.0.1:4040, from /127.0.0.1:38952
Query  Get rmsp://127.0.0.1:4040, from /127.0.0.1:38954
Delete , from /127.0.0.1:38952
Bind  to rmsp://127.0.0.1:42193/UAL/1477525052474/1, from /127.0.0.1:38970
Query  Get rmsp://127.0.0.1:42193/UAL/1477525052474/1, from /127.0.0.1:38970
Bind  to rmsp://127.0.0.1:48163/UAL/1477525266424/1, from /192.17.236.186:60875
Query  Get rmsp://127.0.0.1:48163/UAL/1477525266424/1, from /192.17.236.186:60875
Bind  to rmsp://10.193.37.34:4040, from /10.193.37.34:54656
Bind  to rmsp://127.0.0.1:52705/UAL/1477525372888/1, from /192.17.236.186:60877
Query  Get rmsp://127.0.0.1:52705/UAL/1477525372888/1, from /192.17.236.186:60877
Bind  to rmsp://10.193.37.34:4040, from /10.193.37.34:60878
Bind  to rmsp://127.0.0.1:39132/UAL/1477525511296/1, from /192.17.236.186:60880
Query  Get rmsp://127.0.0.1:39132/UAL/1477525511296/1, from /192.17.236.186:60880
Bind  to rmsp://10.193.37.34:4040, from /10.193.37.34:60600
Bind  to rmsp://127.0.0.1:55776/UAL/1477525650354/1, from /127.0.0.1:38979
Query  Get rmsp://127.0.0.1:55776/UAL/1477525650354/1, from /127.0.0.1:38979
Bind  to rmsp://127.0.0.1:34774/UAL/1477526804102/1, from /192.17.236.186:60894
Query  Get rmsp://127.0.0.1:34774/UAL/1477526804102/1, from /192.17.236.186:60894
Bind  to rmsp://10.193.37.34:4040, from /10.193.37.34:56469
Bind  to rmsp://127.0.0.1:56160/UAL/1477526888324/1, from /127.0.0.1:38993
Query  Get rmsp://127.0.0.1:56160/UAL/1477526888324/1, from /127.0.0.1:38993
Bind  to rmsp://127.0.0.1:47922/UAL/1477526904581/1, from /192.17.236.186:60898
Query  Get rmsp://127.0.0.1:47922/UAL/1477526904581/1, from /192.17.236.186:60898
Bind  to rmsp://10.193.37.34:4040, from /10.193.37.34:56469
